"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"204359";"https://dadosabertos.camara.leg.br/api/v2/deputados/204359";"Léo Moraes";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"RO";"56";"https://www.camara.leg.br/internet/deputado/bandep/204359.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"56";"https://www.camara.leg.br/internet/deputado/bandep/204404.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"204381";"https://dadosabertos.camara.leg.br/api/v2/deputados/204381";"Luis Miranda";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"DF";"56";"https://www.camara.leg.br/internet/deputado/bandep/204381.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204418";"https://dadosabertos.camara.leg.br/api/v2/deputados/204418";"Luizão Goulart";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"PR";"56";"https://www.camara.leg.br/internet/deputado/bandep/204418.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"179587";"https://dadosabertos.camara.leg.br/api/v2/deputados/179587";"Major Vitor Hugo";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"GO";"56";"https://www.camara.leg.br/internet/deputado/bandep/179587.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204506";"https://dadosabertos.camara.leg.br/api/v2/deputados/204506";"Marcos Pereira";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204506.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204430";"https://dadosabertos.camara.leg.br/api/v2/deputados/204430";"Margarete Coelho";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PI";"56";"https://www.camara.leg.br/internet/deputado/bandep/204430.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"74160";"https://dadosabertos.camara.leg.br/api/v2/deputados/74160";"Patrus Ananias";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MG";"56";"https://www.camara.leg.br/internet/deputado/bandep/74160.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"141488";"https://dadosabertos.camara.leg.br/api/v2/deputados/141488";"Paulo Teixeira";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/141488.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204395";"https://dadosabertos.camara.leg.br/api/v2/deputados/204395";"Pedro Lupion";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"PR";"56";"https://www.camara.leg.br/internet/deputado/bandep/204395.jpg"
