"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Solidaried";"";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"GOV.";"";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Podemos";"";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Rede";"https://dadosabertos.camara.leg.br/api/v2/partidos/36886";"Sim"
