"uriProposicao";"siglaTipo";"numero";"ano";"codTema";"tema";"relevancia"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268572";"RIC";"71";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268572";"RIC";"71";"2021";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268573";"RIC";"72";"2021";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268574";"RIC";"73";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268574";"RIC";"73";"2021";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268575";"RIC";"74";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268575";"RIC";"74";"2021";"61";"Viação, Transporte e Mobilidade";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268577";"RIC";"75";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268578";"RIC";"76";"2021";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268599";"RIC";"77";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268601";"RIC";"78";"2021";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268619";"MPV";"1027";"2021";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268619";"MPV";"1027";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268621";"RIC";"79";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268625";"RIC";"80";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268625";"RIC";"80";"2021";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268626";"RIC";"81";"2021";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268626";"RIC";"81";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268627";"PRC";"1";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268627";"PRC";"1";"2021";"53";"Processo Legislativo e Atuação Parlamentar";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268632";"RIC";"82";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268633";"RIC";"83";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268633";"RIC";"83";"2021";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268634";"RIC";"84";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268635";"RIC";"85";"2021";"48";"Meio Ambiente e Desenvolvimento Sustentável";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268636";"RIC";"86";"2021";"62";"Ciência, Tecnologia e Inovação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268636";"RIC";"86";"2021";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268637";"RIC";"87";"2021";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268637";"RIC";"87";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268638";"RIC";"88";"2021";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268639";"RIC";"89";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268642";"RIC";"90";"2021";"44";"Direitos Humanos e Minorias";"0"
