"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"64592";"https://dadosabertos.camara.leg.br/api/v2/eventos/64592";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2124821";"2021-12-16T10:09:15";"2021-12-16T10:18:42";"Encerrada (Final)";"Deliberação de Requerimentos";"Reunião Deliberativa";"";"Anexo II, Plenário 09";"";"";""
"64489";"https://dadosabertos.camara.leg.br/api/v2/eventos/64489";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2119785";"2021-12-16T09:53:14";"2021-12-16T12:55:26";"Encerrada (Final)";"Local:  Plenário 10 do Anexo II da Câmara dos Deputados
Data: 16/12/2021
Horário: 09:30
     
REUNIÃO DE AUDIÊNCIA PÚBLICA
(Requerimento nº 97, do Deputado Rogério Correia)          

TEMA
""Requer a realização de Audiência Pública para debater a desativação do Aeroporto Carlos Prates e a futura destinação da área.""

CONVIDADOS

ROMEU ZEMA 
Governador de Minas Gerais

FUAD NOMAN
Vice-Prefeito de Belo Horizonte

DUDA SALABERT
Vereadora da Câmara Municipal de Belo Horizonte

PEDRO PATRUS
Vereador da Câmara Municipal de Belo Horizonte

RONEI SAGGIORO GLANZMANN 
Secretário Nacional de Aviação Civil / Ministério da Infraestrutura

FABIANA MAGALHÃES ALMEIDA RODOPOULOS 
Secretária de Coordenação e Governança do Patrimônio da União

DIOGO MAC CORD DE FARIA 
Secretário Especial de Desestatização, Desinvestimento e Mercados do Ministério da Economia

JOÃO MARCIO SIMÕES
Defensor-Regional de Direitos Humanos de Minas Gerais

REPRESENTANTE DA COMUNIDADE";"Audiência Pública";"";"Anexo II, Plenário 10";"";"";""
"64530";"https://dadosabertos.camara.leg.br/api/v2/eventos/64530";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2122763";"2021-12-16T12:01:07";"2021-12-16T13:49:21";"Encerrada (Final)";"Discussão e votação de propostas";"Reunião Deliberativa";"";"Anexo II, Plenário 08";"";"";""
"64508";"https://dadosabertos.camara.leg.br/api/v2/eventos/64508";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2120598";"2021-12-16T10:54:50";"2021-12-16T12:00:57";"Encerrada (Final)";"- Requerimento nº 79/2021  -  do Deputado Camilo Capiberibe (PSB/AP)
Data: 16/12/2021 (Quinta-feira) 
Horário: às 9 hs
Local: Anexo II - Plenário 06

         EXPOSITORES:   

- HÉLIO WICHER NETO; Coordenador de Advocacy da Coalizão Respirar (Confirmado)
 
- WANDERLEY COELHO BATISTA;  Especialista em Políticas e Indústria da CNI - Confederação Nacional da Indústria (Confirmado)

- REPRESENTANTE da FIESP; - Federação das Indústrias do Estado de São Paulo (Não participará)

- REPRESENTANTE do MMA; da Secretaria de Qualidade do AR do MMA -  Ministério do Meio Ambiente   (Não participará)

-Dra. PATRICIA FAGA IGLECIAS LEMOS; Representando a  ABEMA - Associação Brasileira de Entidades Estaduais de Meio Ambiente (confirmada)

- Dr. JOSÉ LEONIDAS; Coordenador do Grupo de Trabalho de qualidade do Ar do Ministério Público Federal  (Não participará)

- Dr. CARLOS DORA; Presidente da Sociedade Internacional para Saúde Urbana  (Confirmado)";"Audiência Pública";"";"Anexo II, Plenário 06";"";"";""
"64572";"https://dadosabertos.camara.leg.br/api/v2/eventos/64572";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2123553";"2021-12-16T10:42:15";"2021-12-16T12:13:30";"Encerrada (Final)";"Discussão e Votação de Propostas";"Reunião Deliberativa";"";"Anexo II, Plenário 01";"";"";""
"64385";"https://dadosabertos.camara.leg.br/api/v2/eventos/64385";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2122680";"2021-12-16T09:23:12";"2021-12-16T11:05:45";"Encerrada (Final)";"Discussão e Votação de Propostas";"Reunião Deliberativa";"";"Anexo II, Plenário 12";"";"";""
"64270";"https://dadosabertos.camara.leg.br/api/v2/eventos/64270";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2111210";"2021-12-16T09:15:30";"2021-12-16T11:34:20";"Encerrada";"56ª Legislatura - 3ª Sessão Legislativa Ordinária

Audiência Pública do Grupo de Estudos
TECNOLOGIAS NA EDUCAÇÃO: 
CONSTRUÇÃO DE POLÍTICAS PÚBLICAS PARA O ENSINO

TEMA: CASES BEM-SUCEDIDOS NA IMPLANTAÇÃO DE TECNOLOGIAS NA EDUCAÇÃO NOS MUNICÍPIOS

PA U T A
O objetivo da audiência é avaliar os cases bem-sucedidos em municípios quanto ao uso de tecnologias digitais de informação e comunicação na educação.
Esta audiência faz parte do estudo Tecnologias na Educação que tem como foco identificar os pilares de uma política nacional de tecnologia na educação, a partir da elaboração dos fundamentos normativos da transformação digital na educação. 
Acreditamos que o momento para esse estudo é mais do que oportuno, face ao desafio da aprendizagem, às atividades de utilização da tecnologia no processo educacional e às grandes dificuldades de a educação e as escolas lidarem com as tecnologias e com as diferentes metodologias, fatores que, agora no período da pandemia, colocaram-se ainda mais gritantes e ampliaram-se inclusive nas relações de desigualdade. 

DATA: 16/12/2021 (sexta-feira)
HORÁRIO: 9h00
LOCAL: Plenário 13 - Sala virtual do ZOOM e E-democracia
https://edemocracia.camara.leg.br/audiencias/sala/2533

PALESTRANTES CONVIDADOS:
- Cassia de Oliveira Fernandez, Pesquisadora Sênior do Laboratório de Tecnologias de Aprendizagem Transformativa da Universidade de Columbia (EUA)
- Paulo Blikstein, Professor da Universidade de Columbia (EUA)
- Renata Araújo, Palestrante da Secretaria Municipal de Sobral - Ceará
- Alexandre Marino Costa, Professor do Departamento de Ciências da Administração da Universidade Federal de Santa Catarina - UFSC
- Maristela Guasselli, Dirigente Municipal de Educação de Novo Hamburgo- Rio Grande do Sul
- Marli Regina Fernandes da Silva, Dirigente Municipal de Educação de Apucarana - Paraná
- Luciane Castilhos Constantino, Assessora da Secretaria Municipal de Educação de São José dos Ausentes - Rio Grande do Sul
- Rafael dos Reis Paulo, Assessor Técnico da Secretaria Municipal de Educação de Guaíba- Rio Grande do Sul

 RELATORES DO ESTUDO:
Deputada Ângela Amin (PP/SC) 
Deputada Professora Dorinha Seabra Rezende (DEM/TO)";"Audiência Pública";"";"Anexo II, Plenário 13";"";"";""
"64611";"https://dadosabertos.camara.leg.br/api/v2/eventos/64611";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2127335";"2021-12-16T09:00:00";"2021-12-16T23:35:00";"Encerrada";"Sessão Deliberativa Extraordinária (semipresencial)";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"64534";"https://dadosabertos.camara.leg.br/api/v2/eventos/64534";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2121785";"2021-12-16T09:00:00";"";"Cancelada";"Votação dos Destaques";"Reunião Deliberativa";"";"A Definir";"";"";""
"64589";"https://dadosabertos.camara.leg.br/api/v2/eventos/64589";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2124765";"2021-12-16T09:36:44";"2021-12-16T10:30:23";"Encerrada (Final)";"Discussão e votação de propostas";"Reunião Deliberativa";"";"Anexo II, Plenário 06";"";"";""
